	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 15:44:25 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   415659  5389653  6421025 10821524  7100397  3738358  7100397   1066042   9006179  4897948  6421025 12902017 10821524
              64       8   746056  7293312 15972885 10821524 12902017  5860307  9318832   9318832  20962191  1421755  8182586 12902017 20962191
              64      16   789967  5860307 15972885 12902017 12902017  1879725 12902017   9006179  15972885   998622  2067979 22737791 15972885
              64      32   743988  2467108 20962191 12902017 15972885  1143223 15972885   9318832  20962191  1363961  7940539 15972885 20962191
              64      64   801764  8182586 12902017 30484297 12902017  5283570 16983463   6421025  34389688  6271021 10402178 30484297 15972885
             128       4  1827299  6114306  9129573  9129573  7476717  4407601  8036304   7176872   7176872  5074121  6406138 12842051  9129573
             128       8  1085013  6406138 14200794  9795896  9795896  5545860 11470204   9977956  15881078  2673584  6727225 14200794 12842051
             128      16  1196221  6406138 21643049 10567140 12842051  5784891 15881078  11470204  20804356  2843510  9129573 25804035 12842051
             128      32  1133103  8036304 25804035 11720614 14200794  6406138 18012359   9795896  25804035  1727352 10779307 25804035 14200794
             128      64  2066432  2166499 15881078 15881078 14200794  6812590 18012359   7582312  24620673  6727225 12842051 18012359 18637664
             128     128  1229084  8414153 12842051 21643049 15881078  6727225 18012359   6406138  18012359  5847904  9795896 25804035 18012359
             256       4  1362952  4054829  8208677  9192546  6891544  4477549  8271916   7120034   7314033  5022044  6107548 12090911  8888172
             256       8  1662639  4496299 14164395  9868433  9778562  5569035 12661199   8888172   9192546  5569035  7518900 18259146 10245071
             256      16  1532153  6891544 18259146 10245071 12228612  5810112 17096249  11569783  23441229  3605511  8534922  2247235 15164624
             256      32  1391207  4929815 19591792 10245071 14164395  4332998 14164395  11207494  25684103  3605511  9434868 25684103 14164395
             256      64  1622442  9518507 21558614 11695808 14353744  6719046 21558614  11091721  28401588  4070199 10651598 22940409 17096249
             256     128  1532153  7073132 16072608 11091721 16072608  6398720 18575017   3935921  25684103  6398720 12812277 25684103 14164395
             256     256  1619994  8271916  8815202 16072608 15164624  6891544 23441229   6398720  25684103  6936061  9518507 18259146 14164395
