	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 15:24:48 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4  1460430   842003  7100397 12310336  7940539  4897948  6421025   7100397  10821524  5283570  6421025 12310336 12902017
              64       8  1638743  7100397 20962191 12902017 15972885  1310683  9006179   9006179  10402178  5283570  9318832 22737791 15972885
              64      16   942521  7100397 20962191 15972885 15972885  2133730 12902017  10821524  20962191  7100397 10821524 20962191 20962191
              64      32  1033216  7940539 20962191 15972885 20962191  7940539 12902017  10402178  34389688  9006179 12902017 34389688 34389688
              64      64   889431  1879725 12902017 55857768 30484297  7940539 12902017   7940539  15972885  7100397  9318832 22737791 34389688
             128       4   748976  1319723  4407601  6406138  4407601  1755594  3982553   3657016   4267461  1561553  3560017  6727225  6406138
             128       8  1997245  2608629 14200794 12842051 11720614  6406138 10779307   9287508  18012359  6406138  8036304 18012359 14200794
             128      16  2098744  7476717 18637664 11470204 14200794  7082197 11470204  11470204  24620673  2511022  9129573 25804035 18012359
             128      32  1406136  8548124 21643049 12842051 18637664  7582312 14200794  11470204  21643049  3560017 10567140 25804035 21643049
             128      64  1359835  8414153 18012359 16365173 18012359  8036304 14200794   3380677  21643049  7582312 12542043 25804035 18012359
             128     128  2098744  2420455 11470204 21643049 18637664  3199360 18637664   7582312  18637664  7082197  8548124 25804035 18012359
             256       4  1543163  5971678  9192546  9434868  7314033  3421677  7791708   7314033   7314033  5320671  5569035 12661199  9518507
             256       8  1201314  3052087 14164395 10651598 11207494  5971678 10245071   9778562   9778562  5217259  2463808 18259146 12812277
             256      16  1778290  3879045 18259146 11695808 14164395  4652146 12812277  11569783  23441229  6595234  7791708 19955913 15835569
             256      32  1591186  4755158 21134280 11569783 14953435  7314033 15164624  12661199  25684103  6936061  9434868 25684103 17096249
             256      64  1632308  4553502 19591792 12090911 16072608  7120034 16072608  11695808  22940409  8208677  9868433 25684103 17096249
             256     128  1778290  7314033 17096249 15164624 17096249  6398720 18259146   9114515  19591792  7518900 11695808 28401588 16072608
             256     256  1790149  7518900 10651598 16072608 16072608  7120034 21558614   7120034  23441229  6554972  5242734 25684103 16072608
             512       4  1604029  5744919  8808176  8844453  5822804  3510074  8665997   7115451   7115451  5019764  5639315 12427157  8808176
             512       8  1789859  5453155 14240069  9859630 10235583  4690818 11620224   9510316  10235583  5951911  6999490 17630404 11683444
             512      16  1815584  5744919 18229030 10044089 12215097  5177083 15471149  12215097  12215097  4457157  6821616 19037014 13522711
             512      32  1164070  4485083 11374040  6821616 10044089  4099771 11620224   7211022  15583417  4494470  8955098 24457224 15583417
             512      64  1736314  5684095 20490142 10434519 14240069  6652558 18229030   9145790  28328790  7022379  8109658 23139567 13109944
             512     128  1546280  5019764 19557124 11620224 15037801  5398323 22183443  10911694  21303197  7871843  6909408 24457224 15471149
             512     256  1760512  7211022 15037801 12499490 15037801  6821616 21516644   8265729  18229030  6909408 11943357 25624554 15583417
             512     512  1778004  7988981  9859630 14628067 14628067  6757222 22183443   6909408  24457224  7091952 10044089 24457224 14628067
            1024       4  1653942  5690162  8680108  9045736  6974549  4614246  8895850   7269678   7101400  4614246  5660167  4146499  4972145
            1024       8   908640  3140041  8680108  6733974  7066349  4146499 13142265   9946527   9381637  5782087  7160597 15977962 10662628
            1024      16  1016847  3606774 10329265  8061038 10769573  6093831 16531459  12348754  11132462  5507740  8262639 18608584 11645609
            1024      32  1542286  6355328 20569205  9300377 12313351  6355328 19719260  13305116  12492426  5479632  7257394 23366889 12639479
            1024      64  1744641  7869040 19629138  9464330 12639479  6441107 20869039   2311849  30075602  6208343  7883484 23240448 13142265
            1024     128  1729188  6830356 20970936 10230845 13686709  6692005 22276143  11520658  18608584  6093831  6479979 24998980 13818817
            1024     256  1762539  6402699 17616353 10429596 13643232  6441107 22748081   8750850  17331995  5853003  8262639 23366889 14230902
            1024     512  1825466  6128613 13305116 11132462 13686709  6479979 21823389   6479979  16789959  6327241 10662628 22748081 13818817
            1024    1024  1765437  5336651  9402175 13998981 14044758  5917516 21713061   5720477  21823389  6918376  9485232 21282686 14230902
            2048       4  1699359  5277002  8398403  8608824  6759439  4493100  8643474   7036283   6759439  4751580  5920802 11579763  8431376
            2048       8  1814210  6243566 12561952  9101380  9349021  5578583 12959958   9932791   9653719  5549749  7393606 15766969 11129659
            2048      16  1900089  7013303 16525279  9400176 11626784  5332694 12327589  11917129  11187641  4572018  7529708 19311656 12488897
            2048      32  1897990  8097557 19665344  9796850 13138359  5937172 17645509  11966935  13058467  6401772  8634786 22036452 13467949
            2048      64  1887563  7343043 21539147 10084382 13836752  6823876 22207363  12561952  14109484  6416117  7962448 23041317 14417342
