	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 18:25:13 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   598110  5283570  7100397 12902017  7940539  1690338  7100397   7293312  10821524  5283570  5860307 10821524 10821524
              64       8   939223  3363612 22737791 12902017 12902017  6421025  9006179   9318832  20962191  7293312  7940539 20962191 15972885
              64      16   969761  7100397 20962191 12310336 15972885  7100397 12902017  10821524  34389688  8182586 12902017 30484297 22737791
              64      32  1879725  1460430 30484297 15972885 20962191  7100397 12902017   9006179  22737791  9006179 15972885 20962191 20962191
              64      64  1879725  6421025 10402178 30484297 20962191  8182586 15972885   7940539  20962191  1492919  9006179 34389688 20962191
             128       4  1254941  5325799  8548124 10567140  7917784  4934216  7082197   7082197   8036304  2608629  6114306 11470204 10567140
             128       8  1332828  7082197 15881078 11470204 11720614  6406138 10779307   9795896  18012359  2409592  8036304 21643049 14200794
             128      16  1332828  2211113 21643049 10779307 16365173  3199360 14200794  11470204  25804035  7082197  9129573 21643049 15881078
             128      32   921183  2905056 25804035 11470204 15881078  3560017 15881078  10567140  25804035  3657016 10567140 31945770 18637664
             128      64  1243315  6406138 15881078 14586625 15881078  7082197 15881078   9129573  25804035  7082197 14586625 31945770 20804356
             128     128  1102844  7917784 11470204 18637664 15881078  7176872 18012359   2843510  25804035  6045455  8548124 20804356 15881078
             256       4  1398455  5687020  7571923  7965107  6249745  3810220  7965107   7314033   7120034  5217259  5938650 12812277  9114515
             256       8  1481420  6936061 13454450  9778562 10651598  5810112 12812277   8815202  10245071  5938650  7518900 18259146 11695808
             256      16  1561112  4422226 18259146 10245071 12090911  6249745 15835569  12228612  23441229  6398720  8815202 21558614 13454450
             256      32  1802167  4819184 19591792 10651598 14353744  6554972 18259146  12228612  28401588  7314033  9868433 25684103 16072608
             256      64  1570244  7965107 18259146 11569783 14353744  3052087 21558614  11091721  25684103  7518900 10651598 29173251 16072608
             256     128  1718521  7571923 15164624 12812277 14353744  7314033 19591792   9114515  19591792  6891544 14164395 25684103 15164624
             256     256  1479379  7518900  9434868 17096249 14953435  7120034 19591792   3605511  25684103  4572895  9868433 25684103 16072608
             512       4  1595686  4384358  8665997  8992598  7115451  4701087  8992598   7211022   7309196  4411377  5566231 11943357  9145790
             512       8  1736314  6736026 13522711 10044089 10044089  5744919 14146265  10044089   9681823  4571003  7988981 18229030 12215097
