	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 15:27:50 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    55418   127534  4018152  9006179  6421025   131405  1421755    130637   8182586   115964   124806  5860307  9318832
              64       8   139751   232652  6421025  9006179 10821524   235097  1780008    234481  15972885   237174   231050  6421025 12310336
              64      16   182261   265565  7940539 10402178 12902017   269837  1879725    264519  15972885   164502   350069  7100397 12902017
              64      32   193983   263480 10821524 12902017 15972885   293434  1947927    288390  12902017   515423   561808  7940539 15972885
              64      64   182385   267684 12902017 15972885 20962191   302018  1947927    301678   7940539   303041   253766  9006179 15972885
             128       4   140328   178019  4934216  8036304  6727225   172029  2453642    183872   5784891   180776   190190  5847904  7582312
             128       8   173195   231030  6045455  7917784  9129573   234871  2905056    234871  12842051   247086   237468  6812590  9129573
             128      16   158424   264493  7476717  9977956 10779307   271173  3053774    269404  18012359   288360   303350  7476717 11470204
             128      32   195737   274641  9287508 10779307 12542043   287587  3053774    291649  16365173   385736   378663  7917784 12842051
             128      64   212554   285751  9129573 14200794 14200794   303350  3199360    303350  11720614   450846   589446  8036304 12842051
             128     128   200939   304037 10779307 15881078 11470204   303178  2985839    282592   8548124   287126   306992  8548124 11720614
             256       4   145300   180770  4734192  6761355  5569035   180043  3285566    184847   5428265   188514   182212  5428265  6249745
             256       8   177015   232270  6107548  7120034  8271916   235738  3935921    236153   7120034   241953   240382  6936061  7314033
             256      16   196303   263636  7073132  7735574  8534922   266714  4264168    270886  18259146   249254   260376  7791708  9192546
             256      32   212630   275261  7965107  8208677 10245071   284374  4496299    291872  19955913   309096   328682  7965107 10245071
             256      64   214199   288267  8534922  9114515 10245071   294999  4496299    301883  15835569   326583   387240  8208677  9868433
             256     128   209682   302991  8815202 10651598 10245071   312242  4652146    304020  11207494   548441   602276  8534922  9868433
             256     256   199365   303333  7735574  9868433  9518507   294595  3994490    300784   8534922   286728   292508  8534922  9434868
             512       4   149756   181869  4701087  5760329  5127637   180858  3877684    183721   4742616   181700   181946  5509113  5639315
             512       8   181685   232315  5968453  6156675  6246213   226843  4784885    232945   6018636   234548   237374  6736026  6472112
             512      16   201815   265849  6472112  6736026  7988981   265718  5331314    266675   7540170   259646   271462  7540170  7758090
             512      32   209821   286033  7758090  7115451  8362289   277065  5684095    287796  23391616   301367   305135  8109658  8394979
             512      64   221554   291904  8265729  7647578  7988981   287642  5566231    300649  20490142   319432   338623  8394979  8665997
             512     128   221920   295235  8528336  7871843  8665997   309756  5951911    305874  13438092   338623   381245  8394979  8844453
             512     256   225060   296662  7871843  8394979  8844453   297155  5886650    311780   9468384   578554   577932  8265729  8528336
             512     512   225936   301705  6736026  8265729  8808176   304400  6104175    309712   8701110   286989   299768  8665997  8844453
            1024       4   150791   185673  4654248  5564829  4832290   182339  4249053    185033   4783849   176096   183382  5444898  5417427
            1024       8   183609   231512  6016997  5991815  6208343   227912  5417427    234482   6172653   219502   232037  6692005  6559147
            1024      16   205129   268757  7020149  6364746  6963241   268204  5991815    269753   6918376   261285   268354  7369466  7590887
            1024      32   214997   289519  7755368  6280976  7883484   279478  6128613    204680   7986094   191904   200748  8061038  8061038
            1024      64   223384   299242  8183918  6650556  8137402   301003  6776473    306306  23240448   283499   205168  8246774  8457895
            1024     128   144632   203612  8326715  6918376  8326715   201937  6393168    205041  17688906   224212   230320  8137402  8408221
            1024     256   140043   204680  8061038  6519323  8391792   191186  6441107    198182  10230845   264471   269770  8474583  8610501
            1024     512   141809   199027  7257394  7257394  8326715   201851  6559147    206292   8750850   353471   401406  8391792  8391792
            1024    1024   140428   202289  6599461  8262639  8457895   202213  6569179    199304   8326715   203709   196729  8542002  8750850
            2048       4    99441   123337  4146110  5018054  4591569   123776  4358590    127665   4807425   123024   127578  5444228  5319484
            2048       8   116443   154682  5991003  5704543  6114678   152234  5611381    155589   6149699   153362   153488  6670210  6608629
            2048      16   127411   176824  6922868  6185123  7088541   171651  6243566    177779   6895083   178333   175251  7336772  7262337
            2048      32   141778   192552  7754008  6363830  7754008   196679  6939647    201751   7529708   195288   199687  7903836  8128206
            2048      64   143678   203824  8128206  6543188  7846081   200134  7286980    209001   8261095   210373   203192  8029434  7609754
            2048     128   149544   207577  7853254  6649556  8431376   208065  7343043    211920  19710468   213691   224786  8498106  8565901
            2048     256   144143   206763  7903836  6523312  8159088   209859  7393606    216606  10555264   237778   236658  8431376  8390200
            2048     512   141484   202174  7911115  6962145  8325147   197661  7503399    203660   8749118   267851   266496  8565901  8498106
            2048    1024   144612   197094  6780783  7189398  8190205   211700  7451329    218147   8574451   391969   416950  8431376  8749118
            2048    2048   150421   212334  6243566  8390200  8464610   213867  7529708    206326   8325147   290123   284286  8431376  8464610
            4096       4   151474   186853  4141917  5438722  4735608   183489  4581535    184712   4713521   182059   183217  5095153  5211065
            4096       8   182823   233711  5818150  5912256  6131713   228635  5657217    235148   6131713   231807   229236  6605595  6628532
            4096      16   203497   263762  6735075  6131713  6953144   263965  6737716    268835   7038605   265302   264054  7200866  7173805
            4096      32   213354   289594  7234220  6160296  7421732   247417  7024216    201031   7742845   198689   196207  8062616  7969117
            4096      64   146149   205540  7653165  6272759  7774379   205417  7489679    206984   6905631   204401   207875  7921350  8013724
            4096     128   147437   208521  8173861  6361016  7788478   204954  7701194    211864   8112108   214026   209997  8340529  8276241
            4096     256   148412   211317  7969117  6459069  8158335   210471  7697744    214103  10691939   218746   223507  8224733  8447153
            4096     512   148902   209202  8096815  6872481  8426437   209042  7802627    218044   8734909   239491   235280  7274040  7542289
            4096    1024   138700   195688  6649056  5461198  7572208   195057  6850558    197216   7460407   253402   255410  7473388  7599002
            4096    2048   138856   193829  5885924  5996870  7572208   195644  6847827    196207   7367624   362959   389170  7342434  7434579
            4096    4096   139609   195130  4946971  7434579  7460407   195317  6826060    195624   7342434   195168   197198  7301864  7460407
            8192       4    93418   118086  3019360  3899284  3257215   116894  3101673    119024   3153193   116279   115145  3912159  3917958
            8192       8   111210   147406  4309616  4343942  4474037   145462  4513413    148910   4596740   145307   147592  5151535  5120061
            8192      16   124801   169207  5411147  4618365  5546540   166500  5630154    171058   5814021   166419   168702  6141364  6112956
            8192      32   131229   181512  6360787  4922735  6532510   173544  6455193    183351   6681127   179689   182007  6919267  6861236
            8192      64   135143   189731  6901200  5007390  7025373   186741  6843471    278611   7057118   266520   277771  7301563  7320230
            8192     128   206623   280568  7289171  5120061  7320230   277789  7365738    284760   7550253   282696   283864  7699133  7700859
            8192     256   206124   283883  7367317  5177930  7468200   189546  7361004    198084   7605404   198200   201262  7468200  7432659
            8192     512   137019   194389  7105276  5139206  7434267   193448  7250716    199162   7453619   204835   292050  7735533  7781080
            8192    1024   149920   209193  6959913  5224380  7474698   206399  7281448    212464   7407022   234230   239335  7468200  7548595
            8192    2048   147563   208841  6522590  5406890  7379976   206748  7161552    210509   7373641   271185   278487  7261443  7468200
            8192    4096   148772   209262  5885728  5814021  7328036   206285  7136266    211668   7255309   419969   510721  7460092  7578564
            8192    8192   198867   274345  4946832  7361004  7346838   270711  7160060    268967   7275280   275065   273713  7262978  7346838
           16384       4   128747   155201  3315968  4332113  3377408   154175  3350403    155907   3383728   153573   154193  4172198  4165875
           16384       8   102901   134868  4820455  4831639  5047778   134608  5013163    200766   5035203   196949   197330  5762733  5748753
           16384      16   174388   225898  5448389  4581663  5680795   228456  6059488    232799   6120472   227413   200697  6684250  6673863
           16384      32   130478   205107  6778535  5144133  7052632   205132  6968951    208588   7071501   185555   204569  7515413  7491652
           16384      64   146421   187269  7410062  5313989  7623802   187335  7529411    189394   7706737   186799   186275  7861915  7782671
           16384     128   135668   263853  8031911  5417891  8199626   267014  7888992    270966   8074379   264569   268014  8003847  8007577
           16384     256   199372   188421  7915343  5368371  8122096   175302  7952901    179287   8163585   176411   177189  8050731  8050731
           16384     512   137747   221761  8086731  5459210  8308679   186340  8082927    193396   8286637   193602   193918  8075328  8208441
           16384    1024   148153   269872  7950141  5525492  8332859   210223  8015984    197274   7278984   202842   203386  8159708  8270680
           16384    2048   137009   193303  7515413  5514850  8099122   189796  8106765    196601   7259759   216648   218177  8180105  8229083
           16384    4096   137434   193412  7004468  5734361  8003847   191272  7988959    197690   7230732   253626   254118  7884466  7992676
           16384    8192   137063   192390  6243929  6253020  7838599   191207  7638208    192313   7086815   359472   378076  7574225  7743209
           16384   16384   134624   192126  4615203  6630718  6649324   190575  6364797    191971   6561706   267154   273362  6676457  6624965
           32768      64   195862   261635  8266604  5685920  8389219   185787  8262131    264102   8373885   183310   258902  8750280  8728607
           32768     128   139624   182008  8708144  5727624  8839196   202281  8527150    188778   8612107   189270   189593  8921244  8936325
           32768     256   209587   271341  8780467  5720710  8963133   203032  8831812    281972   8987164   272222   270938  8994810  8999522
           32768     512   143939   273305  8856284  5711676  9042151   192917  8940394    224983   9186601   179138   274174  9140169  9145643
           32768    1024   144001   205193  8963133  5859985  9266501   272991  9036801    280596   9293445   276838   278006  9042151  9132274
           32768    2048   145732   195159  8754739  5887094  9189057   283961  8997165    281770   7527681   286641   289365  9198898  9254023
           32768    4096   209388   271895  8412841  5962177  9089393   184064  8970153    288895   7527681   315250   318102  8911410  9089393
           32768    8192   163674   318795 10129784  8801835 11386062   213604 10937536    311708   7486676   254518   360884  8272574  8815384
           32768   16384   143414   275725  5796469  5828672  7181166   193429  6868236    196196   6554760   366278   546214  7081632  7181166
           65536      64   160956   264664  8702301  5880394  8838288   263600  8793333    192342   8852520   186250   259800  9124939  9159603
           65536     128   145494   209815  9054305  5917358  9267065   190326  9242139    277416   9306284   190835   193347  9295898  9362388
           65536     256   142983   266540  9118582  5842647  9282713   187546  9244625    246393   9390534   189550   185909  9350286  9474691
           65536     512   242880   307867 12506498  8899525 12653886   206175  9525583    287277   9510422   194566   278261  9557378  9598092
           65536    1024   152587   207455  9317009  5919652  9560037   277132  9538143    287058   9674777   196788   278295  9606814  9612189
           65536    2048   148935   274293  9356970  5982915  9616560   195491  9518656    292657   9574356   286505   226206  9602115  9695936
           65536    4096   150501   280352  9106197  6035196  9543442   209849  9495310    234256   7696469   295520   296710  9404027  9591059
           65536    8192   150188   280123  8649452  6109917  9366216   279108  9294326    202037   7515704   292721   315142  8792208  9396955
           65536   16384   162259   269768  6778772  5576656  7670482   190846  7486433    196958   6618491   290900   358731  7466909  7604486
          131072      64   141080   261764  9319663  6125426  9420917   186133  9230315    263137   9304520   184695   256793  9751799  9799777
          131072     128   148111   268431  9724200  6126313  9855821   189962  9634054    194643   9781469   188234   262279  9976549 10039220
          131072     256   151817   204349  9707030  6076542  9898945   216169  9813772    197095   9091560   185727   203253  9804146 10016904
          131072     512   174873   223949  9928263  6110583 10093410   186401  9942448    195082   9668959   176435   206154 10897084 11108690
          131072    1024   148579   221552  9758204  6081719 10120538   188534  9735049    205200   9844702   194168   274972 10088594 10204889
          131072    2048   168086   267470  9724200  6022094  9975101   190442  9863248    199588   9849817   191088   227007  9834488 10007786
          131072    4096   147786   264586  9527697  6047133  9832201   189937  9738498    202536   9769823   194598   231173  9612156  9897519
          131072    8192   161207   268308  9004152  6019127  9474659   192079  9381049    205052   7352448   204533   287325  8910459  9503486
          131072   16384   149284   194371  7173428  5334389  7625350   208650  7570224    195417   6650663   216811   306210  7542907  7641780
          262144      64   142474   189948  9437802  6166783 11256053   196876  9516960    192291   9645447   185175   184527  9862788  9934166
